Arc,Start onChapter,TotalChapters,TotalPages,Manga%,Start onEpisode,TotalEpisodes,TotalMinutes(avg 24),Anime%
Romance Dawn Arc,1,7,178,0.9%,1,3,72,0.3%
Orange Town Arc,8,14,273,1.4%,4,5,120,0.5%
Syrup Village Arc,22,20,396,2.0%,9,10,240,1.0%
Baratie Arc,42,27,514,2.6%,19,12,288,1.2%
Arlong Park Arc,69,27,514,2.6%,31,15,360,1.5%
Buggy Side Story Arc,0,0,0,0.0%,46,2,48,0.2%
Loguetown Arc,96,5,100,0.5%,48,6,144,0.6%
Warship Island Arc,0,0,0,0.0%,54,8,192,0.8%
Reverse Mountain Arc,101,5,96,0.5%,62,2,48,0.2%
Whiskey Peak Arc,106,9,169,0.9%,64,4,96,0.4%
Koby and Helmeppo Arc,0,0,0,0.0%,68,2,48,0.2%
Little Garden Arc,115,15,288,1.5%,70,8,192,0.8%
Drum Island Arc,130,25,477,2.5%,78,14,336,1.4%
Alabasta Arc,155,63,1199,6.2%,92,39,936,3.8%
Post-Alabasta Arc,0,0,0,0.0%,131,5,120,0.5%
Goat Island Arc,0,0,0,0.0%,136,3,72,0.3%
Ruluka Island Arc,0,0,0,0.0%,139,5,120,0.5%
Jaya Arc,218,19,361,1.9%,144,9,216,0.9%
Skypiea Arc,237,66,1242,6.4%,153,43,1032,4.2%
G-8 Arc,0,0,0,0.0%,196,11,264,1.1%
Long Ring Long Land Arc,303,19,365,1.9%,207,15,360,1.5%
Ocean's Dream Arc,0,0,0,0.0%,220,5,120,0.5%
Foxy's Return Arc,0,0,0,0.0%,225,2,48,0.2%
Water 7 Arc,322,53,1009,5.2%,229,35,840,3.4%
Enies Lobby Arc,375,56,1060,5.4%,264,49,1176,4.8%
Post-Enies Lobby Arc,431,11,209,1.1%,313,13,312,1.3%
Ice Hunter Arc,0,0,0,0.0%,326,11,264,1.1%
Thriller Bark Arc,442,48,912,4.7%,337,45,1080,4.4%
Spa Island Arc,0,0,0,0.0%,382,3,72,0.3%
Sabaody Archipelago Arc,490,24,456,2.3%,385,21,504,2.0%
Special Historical Arc,0,0,0,0.0%,406,2,48,0.2%
Amazon Lily Arc,514,11,209,1.1%,408,14,336,1.4%
Impel Down Arc,525,25,473,2.4%,422,31,744,3.0%
Little East Blue Arc,0,0,0,0.0%,426,4,96,0.4%
Marineford Arc,550,31,529,2.7%,457,33,792,3.2%
Post-War Arc,581,17,317,1.6%,490,27,648,2.6%
Return to Sabaody Arc,598,5,98,0.5%,517,6,144,0.6%
Fishman Island Arc,603,51,933,4.8%,523,52,1248,5.1%
Z's Ambition Arc,0,0,0,0.0%,575,4,96,0.4%
Punk Hazard Arc,654,46,856,4.4%,579,47,1128,4.6%
Caesar Retrieval Arc,0,0,0,0.0%,626,3,72,0.3%
Dressrosa Arc,700,102,1830,9.4%,629,118,2832,11.5%
Silver Mine Arc,0,0,0,0.0%,747,4,96,0.4%
Zou Arc,802,23,397,2.0%,751,29,696,2.8%
Marine Rookie Arc,0,0,0,0.0%,780,3,72,0.3%
Whole Cake Island Arc,825,78,1349,6.9%,783,95,2280,9.2%
Levely Arc,903,6,100,0.5%,878,12,288,1.2%
Wano Country Arc: Act 1,909,16,278,1.4%,890,26,624,2.5%
Cidre Guild Arc,0,0,0,0.0%,895,2,48,0.2%
Wano Country Arc: Act 2,925,33,560,2.9%,918,41,984,4.0%
Wano Country Arc: Act 3,958,99,1709,8.8%,959,70,1680,6.8%
